Position,"Track Name",Artist,Streams,URL
55,"Say It (feat. Tove Lo)",Flume,899051,https://open.spotify.com/track/4sQMalN597HdggTu196aL0
56,"Purple Lamborghini (with Rick Ross)",Skrillex,887216,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
57,LUV,"Tory Lanez",857698,https://open.spotify.com/track/52wTKeWYVIAtSESw0haRB1
58,"You & Me","Marc E. Bassy",857690,https://open.spotify.com/track/0qRZ9ydGdzeVk3S01pLGoJ
59,Toothbrush,DNCE,843947,https://open.spotify.com/track/6aFc0W6xVS9kN9E9NGekAl
60,"You Don't Own Me",Grace,841308,https://open.spotify.com/track/6KI1ZpZWYAJLvmVhCJz65G
61,"Love Yourself","Justin Bieber",828769,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
62,"La Bicicleta","Carlos Vives",792320,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
63,Alarm,Anne-Marie,779312,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
64,"Body Say","Demi Lovato",775727,https://open.spotify.com/track/7xrA11O07xo57Bbg6p4hck
65,Sorry,"Justin Bieber",755233,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
66,"Me, Myself & I",G-Eazy,724374,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
67,"Ain't Your Mama","Jennifer Lopez",705035,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
68,Roses,"The Chainsmokers",673028,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
69,Gangsta,Kehlani,671386,https://open.spotify.com/track/1W7zkKgRv9mrLbfdQ8XyH3
70,"Tiimmy Turner",Desiigner,657351,https://open.spotify.com/track/3NJG6vMH1ZsectZkocMEm0
71,"For Free","DJ Khaled",652907,https://open.spotify.com/track/5TqBAOIBe0bQA0spNdcG3k
72,"Sing Me to Sleep","Alan Walker",645899,https://open.spotify.com/track/6UcTHiP25meOD9ox8Rspgx
73,"Mama Said","Lukas Graham",640115,https://open.spotify.com/track/5ArQzSBevAdXTxRY6Ulhbq
74,"Hurts So Good","Astrid S",625333,https://open.spotify.com/track/60lwJa695S26FsYbhCVFVa
75,"Chill Bill","Rob $tone",620164,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
76,Photograph,"Ed Sheeran",619698,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
77,"Lean On (feat. MØ & DJ Snake)","Major Lazer",606310,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
78,"False Alarm",Matoma,587789,https://open.spotify.com/track/7gZQfdEQpmwAoPHSbEHzms
79,Bonfire,"Felix Jaehn",586263,https://open.spotify.com/track/5hz9DEkahyWoTs3rxJOTtw
80,"Hotline Bling",Drake,580907,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6
81,"Make Me... (feat. G-Eazy)","Britney Spears",580741,https://open.spotify.com/track/0YSJCrlSWF3meRTNCu54WI
82,"Me Too","Meghan Trainor",571093,https://open.spotify.com/track/1m4dXbkplvaOO4Wbdjbwxs
83,"Low Life",Future,569459,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
84,"Don't Be So Shy - Filatov & Karas Remix",Imany,563474,https://open.spotify.com/track/5Sod5qQTp8Nj4n5dTjttQG
85,PILLOWTALK,ZAYN,551082,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
86,Close,"Nick Jonas",550213,https://open.spotify.com/track/3lSDIJ2abCrOdDJ6pshUap
87,"Cheap Thrills",Sia,548242,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
88,Jumpman,Drake,545871,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
89,Hello,Adele,544254,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
90,"Pop Style",Drake,543869,https://open.spotify.com/track/334S9SWZMjyRDN0wrHw7wk
91,Stitches,"Shawn Mendes",543624,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
92,"Sit Still, Look Pretty",Daya,538778,https://open.spotify.com/track/1sSNWjLtY4GwyhqAwAnPD9
93,"What Do You Mean?","Justin Bieber",536611,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
94,"Scars To Your Beautiful","Alessia Cara",532589,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
95,"Tears (feat. Louisa Johnson)","Clean Bandit",531440,https://open.spotify.com/track/7py16W5fWYLFFS6BElKAjn
96,"Without Me",Eminem,527823,https://open.spotify.com/track/5pBvNeOAJ54zgd5lEOmM3b
97,"Hymn For The Weekend",Coldplay,524675,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
98,Bobo,"J Balvin",521509,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
99,Kids,OneRepublic,509465,https://open.spotify.com/track/1FMLd0ANP4dWhyTORMy298
100,Sofia,"Alvaro Soler",502971,https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb
101,"Thinking Out Loud","Ed Sheeran",502199,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
