Position,"Track Name",Artist,Streams,URL
1,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",4773705,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
2,Closer,"The Chainsmokers",3685204,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
3,"One Dance",Drake,3628934,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
4,"Let Me Love You","DJ Snake",3360228,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
5,Heathens,"Twenty One Pilots",3091237,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
6,"This Is What You Came For","Calvin Harris",2572113,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
7,"Treat You Better","Shawn Mendes",2558128,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
8,"Too Good",Drake,2440678,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
9,"Don't Let Me Down","The Chainsmokers",2413707,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
10,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",2131212,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
11,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2114630,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
12,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",2087192,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
13,Ride,"Twenty One Pilots",1982165,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
14,"Cheap Thrills",Sia,1978299,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
15,"Perfect Strangers","Jonas Blue",1913712,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
16,"Into You","Ariana Grande",1872682,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
17,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,1861293,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
18,"The Ocean","Mike Perry",1809153,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
19,"Hymn For The Weekend - Seeb Remix",Coldplay,1695662,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
20,"Work from Home","Fifth Harmony",1633419,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
21,"Don't Mind","Kent Jones",1597911,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
22,"Send My Love (To Your New Lover)",Adele,1593254,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
23,"No Money",Galantis,1568271,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
