Position,"Track Name",Artist,Streams,URL
24,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",1549721,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
25,"Needed Me",Rihanna,1540618,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
26,"i hate u, i love u (feat. olivia o'brien)",gnash,1539471,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
27,Panda,Desiigner,1529817,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
28,"Kill Em With Kindness","Selena Gomez",1528959,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
29,"Final Song",MØ,1524566,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
30,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",1450878,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
31,Controlla,Drake,1368890,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
32,"Please Don't Go","Joel Adams",1336937,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
33,Capsize,FRENSHIP,1321315,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
34,"Let Me Hold You (Turn Me On)","Dante Klein",1278053,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
35,"In The Name Of Love","Martin Garrix",1230935,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
36,"All In My Head (Flex)","Fifth Harmony",1194267,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
37,"DUELE EL CORAZON","Enrique Iglesias",1184186,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
38,Broccoli,D.R.A.M.,1165135,https://open.spotify.com/track/0qy5D3OJre7SPJNMOL9I71
39,"Cool Girl","Tove Lo",1163114,https://open.spotify.com/track/5LWVXN39UpNyhkYnBvDfyq
40,Sex,"Cheat Codes",1159320,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
41,"Wherever I Go",OneRepublic,1127102,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
42,Faded,"Alan Walker",1085975,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
43,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1083400,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
44,"Stressed Out","Twenty One Pilots",1074012,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
45,Gold,Kiiara,1065749,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
46,"Never Be Like You",Flume,1033729,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
47,"Cake By The Ocean",DNCE,1030375,https://open.spotify.com/track/2Aa1wE8ofs2tu59TOQrZKW
48,Work,Rihanna,998479,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
49,"Lush Life","Zara Larsson",977968,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
50,"Once In A While",Timeflies,961491,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
51,"7 Years","Lukas Graham",892736,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
52,Middle,"DJ Snake",891939,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
53,"Fast Car - Radio Edit","Jonas Blue",875337,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
54,Starving,"Hailee Steinfeld",844094,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
55,"Purple Lamborghini (with Rick Ross)",Skrillex,798301,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
56,"Say It (feat. Tove Lo)",Flume,792904,https://open.spotify.com/track/4sQMalN597HdggTu196aL0
57,"Love Yourself","Justin Bieber",774215,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
58,Toothbrush,DNCE,741722,https://open.spotify.com/track/6aFc0W6xVS9kN9E9NGekAl
59,"You Don't Own Me",Grace,729819,https://open.spotify.com/track/6KI1ZpZWYAJLvmVhCJz65G
60,"You & Me","Marc E. Bassy",725184,https://open.spotify.com/track/0qRZ9ydGdzeVk3S01pLGoJ
61,"La Bicicleta","Carlos Vives",716235,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
62,Sorry,"Justin Bieber",703537,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
63,LUV,"Tory Lanez",702753,https://open.spotify.com/track/52wTKeWYVIAtSESw0haRB1
64,"Body Say","Demi Lovato",676926,https://open.spotify.com/track/7xrA11O07xo57Bbg6p4hck
65,"Me, Myself & I",G-Eazy,660399,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
66,"Ain't Your Mama","Jennifer Lopez",649266,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
67,Alarm,Anne-Marie,641868,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
68,"For Free","DJ Khaled",608957,https://open.spotify.com/track/5TqBAOIBe0bQA0spNdcG3k
69,Roses,"The Chainsmokers",604477,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
70,"Sing Me to Sleep","Alan Walker",597237,https://open.spotify.com/track/6UcTHiP25meOD9ox8Rspgx
71,"Tiimmy Turner",Desiigner,586572,https://open.spotify.com/track/3NJG6vMH1ZsectZkocMEm0
72,Gangsta,Kehlani,581924,https://open.spotify.com/track/1W7zkKgRv9mrLbfdQ8XyH3
73,"Chill Bill","Rob $tone",566095,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
74,"Lean On (feat. MØ & DJ Snake)","Major Lazer",552965,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
75,"Mama Said","Lukas Graham",546647,https://open.spotify.com/track/5ArQzSBevAdXTxRY6Ulhbq
76,Photograph,"Ed Sheeran",543505,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
77,"Hotline Bling",Drake,541846,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6
78,"Me Too","Meghan Trainor",539234,https://open.spotify.com/track/1m4dXbkplvaOO4Wbdjbwxs
79,"Low Life",Future,531736,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
80,Bonfire,"Felix Jaehn",527450,https://open.spotify.com/track/5hz9DEkahyWoTs3rxJOTtw
81,"Don't Be So Shy - Filatov & Karas Remix",Imany,521680,https://open.spotify.com/track/5Sod5qQTp8Nj4n5dTjttQG
82,"Hurts So Good","Astrid S",521307,https://open.spotify.com/track/60lwJa695S26FsYbhCVFVa
83,"Make Me... (feat. G-Eazy)","Britney Spears",514119,https://open.spotify.com/track/0YSJCrlSWF3meRTNCu54WI
84,"Pop Style",Drake,510151,https://open.spotify.com/track/334S9SWZMjyRDN0wrHw7wk
85,Bobo,"J Balvin",508944,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6
86,Jumpman,Drake,503609,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
87,"Cheap Thrills",Sia,499445,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
88,Stitches,"Shawn Mendes",494733,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
89,"What Do You Mean?","Justin Bieber",493138,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
90,PILLOWTALK,ZAYN,491434,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
91,Close,"Nick Jonas",488693,https://open.spotify.com/track/2wJhFcye5iiW2mVBpGednz
92,Hello,Adele,488173,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
93,"False Alarm",Matoma,487879,https://open.spotify.com/track/7gZQfdEQpmwAoPHSbEHzms
94,"Hymn For The Weekend",Coldplay,478506,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
95,Sofia,"Alvaro Soler",473755,https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb
96,"Tears (feat. Louisa Johnson)","Clean Bandit",467579,https://open.spotify.com/track/7py16W5fWYLFFS6BElKAjn
97,"Without Me",Eminem,465591,https://open.spotify.com/track/5pBvNeOAJ54zgd5lEOmM3b
98,"Sit Still, Look Pretty",Daya,464662,https://open.spotify.com/track/1sSNWjLtY4GwyhqAwAnPD9
99,"My House","Flo Rida",458183,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
100,"Dangerous Woman","Ariana Grande",440937,https://open.spotify.com/track/2h1IPjP471JJRSShTHRUhi
101,Famous,"Kanye West",440605,https://open.spotify.com/track/04mf1OkXHZ6TPBNM9sBcSm
102,"Thinking Out Loud","Ed Sheeran",438226,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
103,"Never Forget You","Zara Larsson",435971,https://open.spotify.com/track/6WLS56xiRrXjSm9RSdL3zD
104,"Scars To Your Beautiful","Alessia Cara",419848,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
105,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,419075,https://open.spotify.com/track/3dBveK0fmnxbiXXgAX6lau
106,Stay,Kygo,416154,https://open.spotify.com/track/2FiSTH0GYpIioUgjfzMIja
107,"Bailar - Radio Edit",Deorro,415415,https://open.spotify.com/track/45sGyAtAxD6efaN0bJAFgh
108,Cruel,Snakehips,415248,https://open.spotify.com/track/0B2RttXEiyXsMeQ7mMP3EI
109,Rise,"Katy Perry",414487,https://open.spotify.com/track/1Ui3r0Ih8F2MroiCWreCYi
110,"Hasta el Amanecer","Nicky Jam",414047,https://open.spotify.com/track/4wFHfY9IILHLNwakPuFogD
111,"Andas En Mi Cabeza","Chino & Nacho",411536,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
112,"Let It Go","James Bay",410945,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
113,"Can't Feel My Face","The Weeknd",405796,https://open.spotify.com/track/6RsWqX8zABZLhZydXxEFOm
114,"Hotter Than Hell","Dua Lipa",403871,https://open.spotify.com/track/1z5jOmNswvnzjC5gFLu5Dv
115,"Borro Cassette",Maluma,391632,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN
116,"Lost Boy","Ruth B",380241,https://open.spotify.com/track/4h0zU3O9R5xzuTmNO7dNDU
117,"Shaky Shaky","Daddy Yankee",380135,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
118,"Sugar (feat. Francesco Yates)","Robin Schulz",373648,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
119,"Adventure Of A Lifetime",Coldplay,368765,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
120,"The Hills","The Weeknd",363937,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
121,"No Shopping","French Montana",363934,https://open.spotify.com/track/0Di26AbdtizzHkFstPyt7A
122,Don't,"Bryson Tiller",361804,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
123,Sugar,"Maroon 5",359630,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5
124,"Uptown Funk","Mark Ronson",352587,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
125,Wicked,Future,352155,https://open.spotify.com/track/6BbINUfGabVyiNFJpQXn3x
126,"When We Were Young",Adele,348766,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL
127,"One Call Away","Charlie Puth",346301,https://open.spotify.com/track/37R0bQOQj5a7DOqh1TGzvB
128,Chandelier,Sia,345968,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
129,"No Problem (feat. Lil Wayne & 2 Chainz)","Chance The Rapper",343676,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
130,"Money Longer","Lil Uzi Vert",340546,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
131,Kids,OneRepublic,340152,https://open.spotify.com/track/1FMLd0ANP4dWhyTORMy298
132,Champions,"Kanye West",336187,https://open.spotify.com/track/2nBI3iWLhupR7LyAJ5GGkE
133,"Hands To Myself","Selena Gomez",333803,https://open.spotify.com/track/3CJvmtWw2bJsudbAC5uCQk
134,Aloha,Møme,333773,https://open.spotify.com/track/2UMZjhZWNxZezcZiZvyvsZ
135,Company,"Justin Bieber",333685,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
136,"Desde Esa Noche",Thalía,333297,https://open.spotify.com/track/1pWYnQIlqxTh5bxuPmTG4E
137,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,333059,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
138,"Good Grief",Bastille,331689,https://open.spotify.com/track/7n9bPHZvl5UvmLPhNjUH1C
139,"No Role Modelz","J. Cole",328807,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
140,YOUTH,"Troye Sivan",326975,https://open.spotify.com/track/68fXn0TVggt7Gr0sPbBuI5
141,"How Deep Is Your Love","Calvin Harris",326582,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
142,"See You Again (feat. Charlie Puth) - From ""Furious 7""","Wiz Khalifa",325599,https://open.spotify.com/track/66CFbqJScx6zRieGllITcs
143,Picky,"Joey Montana",324797,https://open.spotify.com/track/0ZogPPD0uFaPXVhlZJOtSK
144,"Girls Like (feat. Zara Larsson)","Tinie Tempah",324348,https://open.spotify.com/track/0rHVd8h0cFwgLgPFem6S60
145,"Dancing On My Own","Calum Scott",320456,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
146,"X (feat. Future)","21 Savage",319692,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
147,"Is This Love - Remix","Bob Marley & The Wailers",316763,https://open.spotify.com/track/1w5sLDYzYAGI0AkLc6FPlO
148,NO,"Meghan Trainor",316278,https://open.spotify.com/track/3ge54HUrk1ht3EX5SMhIzZ
149,oui,Jeremih,316086,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ
150,Exchange,"Bryson Tiller",315653,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
151,"Where Are Ü Now (with Justin Bieber)","Jack Ü",315462,https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f
152,"Bang My Head (feat. Sia & Fetty Wap)","David Guetta",315372,https://open.spotify.com/track/53Y0kdCa1CZ9gRqEuknfwy
153,"Bohemian Rhapsody","Panic! At The Disco",315180,https://open.spotify.com/track/2YSbHu9XF4bNYWt3MnIhgE
154,"Father Stretch My Hands Pt. 1","Kanye West",314818,https://open.spotify.com/track/6QO46cJfmFvvCKUgauKOKS
155,"Otra Vez (feat. J Balvin)","Zion & Lennox",313800,https://open.spotify.com/track/7pk3EpFtmsOdj8iUhjmeCM
156,"Lose Yourself - Soundtrack Version",Eminem,312632,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
157,"Wild Things","Alessia Cara",310170,https://open.spotify.com/track/2ZyuwVvV6Z3XJaXIFbspeE
158,"Really Really","Kevin Gates",309840,https://open.spotify.com/track/10I3CmmwT0BkOVhduDy53o
159,H.O.L.Y.,"Florida Georgia Line",309818,https://open.spotify.com/track/19PJf5HzeiVW0mdk82Swmn
160,"Bohemian Rhapsody - Remastered 2011",Queen,308753,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY
161,"El Perdedor",Maluma,308661,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
162,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,307554,https://open.spotify.com/track/7K5dzhGda2vRTaAWYI3hrb
163,"Trap Queen","Fetty Wap",306118,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
164,"Pick Up the Phone","Young Thug",302922,https://open.spotify.com/track/4GXl8l1MfZPf2GvpyRPJBf
165,"All of Me","John Legend",300262,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
166,"I Got the Keys","DJ Khaled",298800,https://open.spotify.com/track/2eqUZAVXjK61mZqLl4LKJJ
167,"Heatwave (feat. Akon)","Robin Schulz",298657,https://open.spotify.com/track/2KMJ5CoxY4ECG9TZyNWmpv
168,"Ya Me Enteré - Urban Version",Reik,296574,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
169,"Let Her Go",Passenger,294284,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm
170,"Take Me To Church",Hozier,293810,https://open.spotify.com/track/7dS5EaCoMnN7DzlpT6aRn2
171,"El Perdón","Nicky Jam",289764,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
172,"THat Part","ScHoolboy Q",287866,https://open.spotify.com/track/2yJ9GVCLMmzBBfQAnfzlwr
173,Spirits,"The Strumbellas",286347,https://open.spotify.com/track/5rjP15JGMxW6zdPD7nIfbI
174,"Childs Play",Drake,286280,https://open.spotify.com/track/0k9RIzZtAo4DTQu0ZM6lNZ
175,Radioactive,"Imagine Dragons",286251,https://open.spotify.com/track/6Ep6BzIOB9tz3P4sWqiiAB
176,"Not Nice",PARTYNEXTDOOR,284448,https://open.spotify.com/track/04sT6xbMnJouAktbkkr4qr
177,"If It Ain't Love","Jason Derulo",283733,https://open.spotify.com/track/5YHR8wBR5jXfGtP766NiAT
178,"All The Way Up","Fat Joe",280952,https://open.spotify.com/track/61QSuw5VlC0LTS8WMO356g
179,"Cut It (feat. Young Dolph)","O.T. Genasis",279385,https://open.spotify.com/track/376KnY4TrgBITxjlnbnmIy
180,Sexual,NEIKED,279278,https://open.spotify.com/track/24n5tZm9XnaoNAkcW5NC5B
181,"679 (feat. Remy Boyz)","Fetty Wap",277974,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
182,Riptide,"Vance Joy",277505,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
183,"Still Here",Drake,276734,https://open.spotify.com/track/4YJmZfvlheSziXem8HBWrj
184,"Want to Want Me","Jason Derulo",276645,https://open.spotify.com/track/7oGZAicScQt96OAW4AruYy
185,"You Was Right","Lil Uzi Vert",275514,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
186,"Ni**as In Paris","JAY Z",275377,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
187,"Stay With Me","Sam Smith",272787,https://open.spotify.com/track/7IHOIqZUUInxjVkko181PB
188,"Golden Light - feat. 6AM",Madden,271990,https://open.spotify.com/track/3T8j0WDSw7G98rNLAe2M2X
189,Raging,Kygo,271042,https://open.spotify.com/track/2Vhd5uZB4brKHmM0MNxkZo
190,Ophelia,"The Lumineers",268625,https://open.spotify.com/track/7bTwYGhBdSQ8vuXc76Xint
191,"With You",Drake,267104,https://open.spotify.com/track/5PMNu7kMZ4msbxiKnDTOt0
192,"2 Phones","Kevin Gates",266713,https://open.spotify.com/track/0wdKiSBUT7aZkXUIdJWcwC
193,"Counting Stars",OneRepublic,266446,https://open.spotify.com/track/1QzFhzIOW7CyRJLpmq5CM0
194,"Runaway (U & I)",Galantis,266070,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo
195,"Car Radio","Twenty One Pilots",265842,https://open.spotify.com/track/5cbpoIu3YjoOwbBDGUEp3P
196,"White Iverson","Post Malone",264603,https://open.spotify.com/track/2N0NifjyXAdMOB4KBGvBJ6
197,Hey,Fais,264560,https://open.spotify.com/track/3jpViAo0HZOdT7Flyfne6j
198,"Standing In The Rain (with Mark Ronson & Dan Auerbach)","Action Bronson",264475,https://open.spotify.com/track/6p586xRu0OuyR1ftsTvFoz
199,"You Don't Know Love","Olly Murs",261787,https://open.spotify.com/track/3Iyzdie1LZW22Z9S2hIvHl
200,Demons,"Imagine Dragons",261696,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e
