,Position,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
51,52,0.687,0.62,105.021,0.141,0.00758,0.0,4.0,0.786,0.0,215160.0,-5.914,0.35,1.0
52,53,0.473,0.391,119.992,0.0514,0.287,0.0,4.0,0.765,10.0,237300.0,-5.829,0.343,1.0
53,54,0.532,0.0617,74.963,0.0295,0.0668,3.22e-06,4.0,0.598,3.0,262521.0,-6.833,0.275,0.0
54,55,0.505,0.225,189.978,0.275,0.0121,1.28e-06,4.0,0.524,11.0,228027.0,-8.256,0.3,0.0
55,56,0.587,0.307,113.901,0.0785,0.453,0.0,4.0,0.459,9.0,212424.0,-6.983,0.564,1.0
56,57,0.645,0.201,84.925,0.19,0.0362,0.0,4.0,0.687,1.0,218480.0,-8.38,0.628,1.0
57,58,0.899,0.831,147.268,0.132,0.0019,0.0,4.0,0.457,10.0,215510.0,-2.591,0.298,0.0
58,59,0.777,0.425,104.458,0.177,0.119,0.0,4.0,0.495,7.0,231813.0,-5.764,0.805,1.0
59,60,0.635,0.0599,186.249,0.0898,0.159,2.79e-06,3.0,0.332,7.0,201493.0,-5.653,0.286,1.0
60,61,0.378,0.28,100.418,0.438,0.835,0.0,4.0,0.609,4.0,233720.0,-9.828,0.529,1.0
61,62,0.961,0.329,179.984,0.13,0.206,1.84e-06,4.0,0.746,0.0,227457.0,-2.243,0.954,1.0
62,63,0.74,0.248,87.01,0.0381,0.00589,1.53e-06,4.0,0.63,5.0,193893.0,-4.786,0.274,0.0
63,64,0.589,0.176,146.928,0.232,0.0812,0.0,4.0,0.756,0.0,205593.0,-5.093,0.817,1.0
64,65,0.76,0.299,99.945,0.045,0.0797,0.0,4.0,0.654,0.0,200787.0,-3.669,0.393,0.0
65,66,0.672,0.158,111.996,0.0955,0.0186,0.0,4.0,0.757,0.0,251467.0,-6.524,0.389,0.0
66,67,0.678,0.0654,120.075,0.233,0.0472,9.14e-06,4.0,0.757,8.0,218235.0,-5.529,0.815,0.0
67,68,0.743,0.0796,122.798,0.042,0.181,0.0,4.0,0.597,6.0,239853.0,-3.095,0.321,1.0
68,69,0.802,0.309,100.001,0.0561,0.0435,0.00377,4.0,0.713,4.0,226739.0,-7.055,0.339,1.0
69,70,0.447,0.303,121.48,0.0436,0.111,0.0,4.0,0.439,10.0,177029.0,-8.318,0.111,0.0
70,71,0.594,0.0961,120.141,0.0486,0.0777,0.0,4.0,0.681,7.0,208729.0,-4.986,0.403,0.0
71,72,0.607,0.289,176.112,0.0668,0.0125,1.52e-06,4.0,0.491,4.0,189333.0,-6.333,0.156,0.0
72,73,0.799,0.37,83.996,0.0703,0.0447,6.4e-05,4.0,0.712,7.0,206903.0,-4.564,0.6,0.0
73,74,0.571,0.153,103.521,0.2,0.0173,1.11e-06,4.0,0.916,10.0,183695.0,-8.241,0.467,0.0
74,75,0.379,0.0986,107.989,0.0476,0.607,0.000464,4.0,0.614,4.0,258987.0,-10.48,0.198,1.0
75,76,0.809,0.565,98.007,0.0625,0.00346,0.00123,4.0,0.723,7.0,176561.0,-3.081,0.271,0.0
76,77,0.427,0.0906,108.034,0.145,0.0312,0.00099,4.0,0.886,6.0,177184.0,-10.028,0.236,1.0
77,78,0.7,0.217,123.013,0.0985,0.157,0.0,4.0,0.697,7.0,231266.0,-6.651,0.585,0.0
78,79,0.785,0.085,111.065,0.0832,0.064,1.27e-05,4.0,0.771,2.0,183003.0,-3.915,0.34,0.0
79,80,0.62,0.0504,134.96,0.0587,0.00347,0.000119,4.0,0.903,2.0,267067.0,-8.094,0.55,1.0
80,81,0.732,0.0606,102.979,0.0294,0.00681,4.57e-05,4.0,0.643,5.0,224272.0,-6.762,0.182,0.0
81,82,0.954,0.412,119.979,0.05,0.034,0.0103,4.0,0.737,8.0,190000.0,-2.936,0.909,0.0
82,83,0.331,0.146,143.974,0.0725,0.337,0.283,4.0,0.722,8.0,313547.0,-7.789,0.102,1.0
83,84,0.694,0.479,123.822,0.1,0.0963,1.21e-06,4.0,0.934,11.0,181240.0,-5.849,0.825,0.0
84,85,0.451,0.0872,157.966,0.0347,0.336,0.0,4.0,0.481,5.0,295493.0,-6.095,0.287,0.0
85,86,0.767,0.181,181.818,0.261,0.12,0.0,4.0,0.659,2.0,200717.0,-3.016,0.56,1.0
