Position,"Track Name",Artist,Streams,URL
1,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",5224003,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
2,Closer,"The Chainsmokers",4484516,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
3,"Let Me Love You","DJ Snake",4079537,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
4,"One Dance",Drake,3930718,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
5,Heathens,"Twenty One Pilots",3611489,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
6,"Treat You Better","Shawn Mendes",2902955,https://open.spotify.com/track/53B2XmmjJ9rriW1qciMBeX
7,"This Is What You Came For","Calvin Harris",2832193,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
8,"Too Good",Drake,2730311,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
9,"Don't Let Me Down","The Chainsmokers",2713644,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
10,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",2568012,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
11,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",2412145,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj
12,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",2329027,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
13,"Perfect Strangers","Jonas Blue",2280182,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
14,Ride,"Twenty One Pilots",2218306,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
15,"Cheap Thrills",Sia,2193148,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
16,"This Girl (Kungs Vs. Cookin' On 3 Burners)",Kungs,2165085,https://open.spotify.com/track/4AOpEhqA7zHxQjkHmRrAp7
17,"Into You","Ariana Grande",2109392,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
18,"The Ocean","Mike Perry",2079673,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
19,"Hymn For The Weekend - Seeb Remix",Coldplay,1967366,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
20,"In the Name of Love","Martin Garrix",1863410,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
21,"Send My Love (To Your New Lover)",Adele,1839733,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
22,"Work from Home","Fifth Harmony",1820574,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
23,"Final Song",MØ,1781039,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
24,"i hate u, i love u (feat. olivia o'brien)",gnash,1737778,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
25,"Needed Me",Rihanna,1719798,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
26,"No Money",Galantis,1710383,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
27,"Kill Em With Kindness","Selena Gomez",1707056,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
28,"Don't Mind","Kent Jones",1699723,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
29,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",1680264,https://open.spotify.com/track/1MtUq6Wp1eQ8PC6BbPCj8P
30,Panda,Desiigner,1623001,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
31,"Let Me Hold You (Turn Me On)","Dante Klein",1606413,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
32,"This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016","David Guetta",1605772,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
33,Capsize,FRENSHIP,1578566,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
34,"Please Don't Go","Joel Adams",1518404,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
35,Controlla,Drake,1473955,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
36,"Cool Girl","Tove Lo",1415440,https://open.spotify.com/track/5LWVXN39UpNyhkYnBvDfyq
37,"All In My Head (Flex)","Fifth Harmony",1389061,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
38,Starving,"Hailee Steinfeld",1313914,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
39,Broccoli,D.R.A.M.,1305217,https://open.spotify.com/track/0qy5D3OJre7SPJNMOL9I71
40,"DUELE EL CORAZON","Enrique Iglesias",1273299,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
41,"Wherever I Go",OneRepublic,1233223,https://open.spotify.com/track/7kUtJKGZzLNgIkq1Galkt0
42,Gold,Kiiara,1216586,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
43,Sex,"Cheat Codes",1204182,https://open.spotify.com/track/5ZEM9j0jrFr5RdHEbl2MYV
44,Faded,"Alan Walker",1194619,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
45,"Cake By The Ocean",DNCE,1191841,https://open.spotify.com/track/7L5jgZtAyfiU7elB8DIqCx
46,"Never Be Like You",Flume,1182648,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
47,"Stressed Out","Twenty One Pilots",1167105,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
48,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",1150917,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
49,"Lush Life","Zara Larsson",1111397,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
50,Work,Rihanna,1064082,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
51,Middle,"DJ Snake",965596,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
52,"Once In A While",Timeflies,962159,https://open.spotify.com/track/6cREm4bV7V79Yxdilx9HDo
53,"7 Years","Lukas Graham",957560,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
54,"Say It (feat. Tove Lo)",Flume,919315,https://open.spotify.com/track/4sQMalN597HdggTu196aL0
55,LUV,"Tory Lanez",909707,https://open.spotify.com/track/52wTKeWYVIAtSESw0haRB1
56,"Fast Car - Radio Edit","Jonas Blue",902943,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
57,"You & Me","Marc E. Bassy",895350,https://open.spotify.com/track/0qRZ9ydGdzeVk3S01pLGoJ
58,"Purple Lamborghini (with Rick Ross)",Skrillex,879831,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
59,Toothbrush,DNCE,854560,https://open.spotify.com/track/38510fWvtOkrFjg2EDkJtT
60,"You Don't Own Me",Grace,851061,https://open.spotify.com/track/6KI1ZpZWYAJLvmVhCJz65G
61,"Love Yourself","Justin Bieber",829937,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
62,"La Bicicleta","Carlos Vives",815266,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
63,"Body Say","Demi Lovato",807082,https://open.spotify.com/track/7xrA11O07xo57Bbg6p4hck
64,Alarm,Anne-Marie,801946,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
65,Sorry,"Justin Bieber",768809,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
66,"Me, Myself & I",G-Eazy,721997,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
67,"Ain't Your Mama","Jennifer Lopez",719346,https://open.spotify.com/track/2hgzdQdnfWwtdpZbhZlV72
68,"Tiimmy Turner",Desiigner,690068,https://open.spotify.com/track/3NJG6vMH1ZsectZkocMEm0
69,Roses,"The Chainsmokers",680741,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
70,Gangsta,Kehlani,670647,https://open.spotify.com/track/1W7zkKgRv9mrLbfdQ8XyH3
71,"Hurts So Good","Astrid S",656958,https://open.spotify.com/track/60lwJa695S26FsYbhCVFVa
72,"Sing Me to Sleep","Alan Walker",656545,https://open.spotify.com/track/6UcTHiP25meOD9ox8Rspgx
73,"Mama Said","Lukas Graham",655938,https://open.spotify.com/track/5ArQzSBevAdXTxRY6Ulhbq
74,"For Free","DJ Khaled",651119,https://open.spotify.com/track/5TqBAOIBe0bQA0spNdcG3k
75,Photograph,"Ed Sheeran",630274,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
76,"Lean On (feat. MØ & DJ Snake)","Major Lazer",624509,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
77,"Chill Bill","Rob $tone",613503,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
78,"Make Me... (feat. G-Eazy)","Britney Spears",609543,https://open.spotify.com/track/0YSJCrlSWF3meRTNCu54WI
79,Bonfire,"Felix Jaehn",605155,https://open.spotify.com/track/5hz9DEkahyWoTs3rxJOTtw
80,"Hotline Bling",Drake,598869,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6
81,"False Alarm",Matoma,584957,https://open.spotify.com/track/7gZQfdEQpmwAoPHSbEHzms
82,"Don't Be So Shy - Filatov & Karas Remix",Imany,583843,https://open.spotify.com/track/5Sod5qQTp8Nj4n5dTjttQG
83,"Low Life",Future,583094,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX
84,"Me Too","Meghan Trainor",569393,https://open.spotify.com/track/1m4dXbkplvaOO4Wbdjbwxs
85,Hello,Adele,554401,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
